lookalike;node;direction;indexes
blc1;blc03;1;[2,4,7,9,15]	
dr_-0.03_freq_933.342681;blc02;-1;[2,3,4,7,8,9,10,11,12,13,14,15,16]	
dr_-0.04_freq_1200.011914;blc04;-1;[1,2,3,4,5,7,8,9,11,12,13,14,15,16]	
dr_-0.04_freq_1312.585393;blc05;-1;[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]	
dr_-0.04_freq_1333.346684;blc05;-1;[2,3,4,5,7,8,9,10,11,12,13,14,15,16]	
dr_-0.04_freq_1350.008112;blc06;1;[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
dr_-0.04_freq_1365.298917;blc06;1;[2,3,4,7,9,11,13,15,16]
dr_-0.04_freq_1398.598805;blc06;1;[2,4]
dr_-0.04_freq_1431.898859;blc06;1;[2,4,9,15,16]
dr_-0.04_freq_1485.008851;blc07;1;[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
dr_-0.04_freq_1498.498799;blc07;1;[2,3,4,7,9,10,11,12,13,14,15,16]
