panel_id;filename;blc1;dr_-0.03_freq_933.342681;dr_-0.04_freq_1200.011914;dr_-0.04_freq_1312.585393;dr_-0.04_freq_1333.346684;dr_-0.04_freq_1350.008112;dr_-0.04_freq_1365.298917;dr_-0.04_freq_1398.598805;dr_-0.04_freq_1431.898859;dr_-0.04_freq_1485.008851;dr_-0.04_freq_1498.498799
0;blcxx_1421-490_S_2019-04-29T12:39:50.000.fil;;;;1312.58640289307;;1350.00897979736;;;;1485.00988006592;
1;blcxx_1421-490_R_2019-04-29T12:46:00.000.fil;;;1200.01301193237;1312.58638763428;;1350.00899505615;;;;1485.00989532471;
2;blcxx_ProxCen_S_2019-04-29T13:02:35.000.fil;982.002391815186;933.343425750732;1200.0129776001;1312.5863571167;1333.34775543213;1350.00902557373;1365.29988098145;1398.59988021851;1431.89987564087;1485.00992965698;1498.49987030029
3;blcxx_1421-490_S_2019-04-29T13:34:59.000.fil;;933.343383789063;1200.01292037964;1312.58629608154;1333.34769058228;1350.00908279419;1365.2999458313;;;1485.00999069214;1498.49993896484
4;blcxx_ProxCen_S_2019-04-29T13:47:46.000.fil;982.002471923828;933.343368530273;1200.01290130615;1312.58628082275;1333.34766769409;1350.00910568237;1365.29997253418;1398.59997177124;1431.8999710083;1485.01001358032;1498.49996948242
5;blcxx_1934-638_S_2019-04-29T14:21:18.000.fil;;;1200.012840271;1312.58622741699;1333.34760284424;1350.00916290283;;;;1485.01008224487;
6;blcxx_J1644-4559_S_2019-04-29T14:34:27.000.fil;;;;1312.58620452881;;1350.00918197632;;;;1485.01010131836;
7;blcxx_ProxCen_S_2019-04-29T14:43:40.000.fil;982.002574920654;933.343284606934;1200.01279830933;1312.58619689941;1333.34755325317;1350.0092010498;1365.3000907898;;;1485.01012039185;1498.50009918213
8;blcxx_1421-490_S_2019-04-29T15:15:10.000.fil;;933.343235015869;1200.01272964478;1312.58615875244;1333.34748077393;1350.00926589966;;;;1485.01019287109;
9;blcxx_ProxCen_S_2019-04-29T15:21:41.000.fil;982.002643585205;933.343223571777;1200.01271820068;1312.58614730835;1333.34746170044;1350.00927734375;1365.30018234253;;1431.90019226074;1485.01020431519;1498.50019836426
10;blcxx_1421-490_S_2019-04-29T15:53:15.000.fil;;933.34317779541;;1312.58612060547;1333.34739303589;1350.00933456421;;;;1485.01026916504;1498.5002746582
11;blcxx_ProxCen_S_2019-04-29T15:59:48.000.fil;;933.343166351318;1200.01264190674;1312.58611297607;1333.3473815918;1350.009349823;1365.30038833618;;;1485.01028442383;1498.50029373169
12;blcxx_1421-490_S_2019-04-29T16:31:21.000.fil;;933.343128204346;1200.01259231567;1312.58609390259;1333.34729766846;1350.00939559937;;;;1485.01033401489;1498.50035476685
13;blcxx_ProxCen_S_2019-04-29T16:37:52.000.fil;;933.34309387207;1200.01259994507;1312.58609008789;1333.34732818604;1350.00941085815;1365.30042648315;;;1485.01034927368;1498.50036621094
14;blcxx_1421-490_S_2019-04-29T17:09:23.000.fil;;933.343109130859;1200.01256942749;1312.5860748291;1333.34730148315;1350.00944519043;;;;1485.01038742065;1498.5004196167
15;blcxx_ProxCen_S_2019-04-29T17:54:26.000.fil;982.002811431885;933.343090057373;1200.01254272461;1312.58605194092;1333.34727096558;1350.00946807861;1365.30043029785;;1431.90045166016;1485.01041412354;1498.50047302246
16;blcxx_1421-490_S_2019-04-29T18:25:49.000.fil;;933.343074798584;1200.01252746582;1312.58604431152;1333.34725570679;1350.00947952271;1365.30044937134;;1431.90047073364;1485.01042556763;1498.50049591064
