panel_id;filename;blc1;dr_-0.03_freq_933.342681;dr_-0.04_freq_1200.011914;dr_-0.04_freq_1312.585393;dr_-0.04_freq_1333.346684;dr_-0.04_freq_1350.008112;dr_-0.04_freq_1365.298917;dr_-0.04_freq_1398.598805;dr_-0.04_freq_1431.898859;dr_-0.04_freq_1485.008851;dr_-0.04_freq_1498.498799;dr_-0.05_freq_1439.492719;dr_-0.05_freq_1440.075719;dr_-0.05_freq_1648.348679;dr_-0.05_freq_1755.010495;dr_-0.05_freq_1798.198613;dr_-0.05_freq_1890.011349;dr_-0.05_freq_1920.155980;dr_-0.06_freq_1366.124356;dr_-0.06_freq_1680.045601;dr_-0.06_freq_1749.962494;dr_-0.06_freq_1920.190296;dr_-0.06_freq_2097.898373;dr_-0.06_freq_2283.223801;dr_-0.06_freq_2400.014489;dr_-0.07_freq_2400.194919;dr_-0.07_freq_2547.447902;dr_-0.08_freq_2400.237953;dr_0.02_freq_704.499339;dr_0.02_freq_717.345160;dr_0.02_freq_727.985186;dr_0.02_freq_732.599455;dr_0.02_freq_733.985201;dr_0.02_freq_741.985220;dr_0.02_freq_832.499339;dr_0.03_freq_736.864168;dr_0.03_freq_788.001170;dr_0.03_freq_789.985175;dr_0.03_freq_796.001189;dr_0.03_freq_799.199286;dr_0.03_freq_805.985213;dr_0.03_freq_810.550547;dr_0.03_freq_812.001284;dr_0.03_freq_813.985289;dr_0.03_freq_816.001238;dr_0.03_freq_817.985243;dr_0.03_freq_818.001242;dr_0.03_freq_818.017187;dr_0.03_freq_832.005774;dr_0.03_freq_856.001226;dr_0.03_freq_865.799281;dr_0.03_freq_899.099280;dr_0.03_freq_960.005774;dr_0.03_freq_1065.599158;dr_0.03_freq_1098.899045;dr_0.03_freq_1198.799039;dr_0.03_freq_1320.107263;dr_0.04_freq_1062.001512;dr_0.04_freq_1298.698922;dr_0.04_freq_1466.681405;dr_0.05_freq_1250.013833;dr_0.06_freq_1866.685360
0;blcxx_1421-490_S_2019-04-29T12:39:50.000.fil;;;;1312.58640289307;;1350.00897979736;;;;1485.00988006592;;1439.49387741089;1440.06587600708;;;1798.19964599609;;1920.15686035156;1366.1256980896;;1749.96381759644;;;2283.22528076172;;;;;704.499897003174;;;;;741.985790252686;832.499897003174;736.86483001709;;;;799.199901580811;;;;;;;818.001670837402;;;;;899.0998878479;;;;;;;;;;
1;blcxx_1421-490_R_2019-04-29T12:46:00.000.fil;;;1200.01301193237;1312.58638763428;;1350.00899505615;;;;1485.00989532471;;1439.49389648438;1440.06589889526;;1755.01169204712;;;;1366.12571716309;;;;2097.89976119995;2283.22529983521;;2400.19652557373;;;704.499908447266;717.346500396729;727.98575592041;732.599918365479;733.985774993897;;832.499904632568;736.864841461182;;;;799.199909210205;;;812.001960754395;;816.001972198486;;818.001781463623;;832.006397247315;;865.799900054932;899.099899291992;;;;;;;;;1250.01490402222;1866.68692779541
2;blcxx_ProxCen_S_2019-04-29T13:02:35.000.fil;982.002391815186;933.343425750732;1200.0129776001;1312.5863571167;1333.34775543213;1350.00902557373;1365.29988098145;1398.59988021851;1431.89987564087;1485.00992965698;1498.49987030029;1439.49394607544;1440.06594848633;1648.34985733032;1755.01173019409;1798.19984436035;1890.01263809204;1920.15726470947;1366.12574768066;1680.04721450806;1749.96389007568;1920.19190979004;2097.89981842041;2283.22535324097;2400.0160446167;2400.19657897949;2547.4497795105;2400.23988342285;704.499927520752;717.345748901367;727.985774993897;732.599937438965;733.985790252686;741.985809326172;832.499927520752;736.864864349365;788.001922607422;789.985927581787;796.001941680908;799.199932098389;805.98596572876;810.551349639893;812.001979827881;813.985984802246;816.001987457275;817.985992431641;818.001991271973;818.017993927002;832.006416320801;856.002086639404;865.799926757813;899.099922180176;960.006416320801;1065.59990692139;1098.89990615845;1198.79989624023;1320.1081199646;1062.00259017944;1298.69988632202;1466.68252944946;1250.0150604248;1866.68685531616
3;blcxx_1421-490_S_2019-04-29T13:34:59.000.fil;;933.343383789063;1200.01292037964;1312.58629608154;1333.34769058228;1350.00908279419;1365.2999458313;;;1485.00999069214;1498.49993896484;;1440.06603622437;;1755.01181411743;;1890.01271820068;1920.15734863281;1366.12582778931;;1749.96397781372;1920.19203186035;2097.89991760254;2283.2254524231;2400.01614761353;2400.19668579102;2547.44989776611;2400.24000549316;704.499969482422;;;732.59997177124;;741.985851287842;832.499969482422;736.864910125732;788.001964569092;789.985973358154;796.001987457275;799.199970245361;805.986011505127;810.551399230957;812.002025604248;813.986030578613;816.00203704834;817.986042022705;818.002040863037;818.018039703369;832.006458282471;856.002136230469;865.799964904785;899.099964141846;960.006462097168;1065.59996032715;1098.89995574951;1198.79990768433;;1062.00260543823;1298.69994735718;;1250.0150642395;1866.68676376343
4;blcxx_ProxCen_S_2019-04-29T13:47:46.000.fil;982.002471923828;933.343368530273;1200.01290130615;1312.58628082275;1333.34766769409;1350.00910568237;1365.29997253418;1398.59997177124;1431.8999710083;1485.01001358032;1498.49996948242;;1440.06628417969;;1755.01183700562;1798.19996261597;1890.01274490356;1920.15737915039;1366.12586212158;;1749.96402359009;1920.19203948975;2097.89995574951;2283.22549438477;2400.0161857605;2400.19672393799;2547.44994735718;2400.24004745483;704.499984741211;717.345806121826;727.985832214356;732.599987030029;;741.985870361328;832.499984741211;736.864929199219;788.001983642578;789.985988616943;796.002006530762;799.19998550415;805.986030578613;;812.002044677734;813.9860496521;816.002056121826;817.986171722412;818.002067565918;818.018058776856;832.00647354126;856.002155303955;865.799983978272;899.099983215332;960.00647354126;1065.59997940063;1098.8999786377;1198.79997634888;1320.10820007324;1062.00267410278;1298.69997406006;1466.68243408203;1250.01517486572;1866.68673324585
5;blcxx_1934-638_S_2019-04-29T14:21:18.000.fil;;;1200.012840271;1312.58622741699;1333.34760284424;1350.00916290283;;;;1485.01008224487;;;;;1755.01191329956;1798.20000076294;;1920.15747070313;1366.12592697144;;;;2097.90005874634;2283.22553253174;2400.01629257202;;;;704.500022888184;;;;;;832.500022888184;736.864978790283;;;;799.200023651123;;810.551475524902;812.002094268799;;816.002105712891;;;;;;;899.100025177002;;;;;1320.10823822021;;;;1250.01523971558;1866.68664550781
6;blcxx_J1644-4559_S_2019-04-29T14:34:27.000.fil;;;;1312.58620452881;;1350.00918197632;;;;1485.01010131836;;;;;1755.01194000244;;;;1366.12594604492;;;;2097.90010452271;2283.22554397583;;2400.19688034058;;;704.50004196167;;;732.600036621094;;;832.50004196167;736.86499786377;;;;799.200038909912;;810.551498413086;;;;;;;832.006294250488;;865.800045013428;899.100044250488;;;;;;;;;;1866.68660354614
7;blcxx_ProxCen_S_2019-04-29T14:43:40.000.fil;982.002574920654;933.343284606934;1200.01279830933;1312.58619689941;1333.34755325317;1350.0092010498;1365.3000907898;;;1485.01012039185;1498.50009918213;;;;1755.01195907593;1798.20012283325;1890.01287841797;1920.15752792358;1366.12596893311;;1749.9642829895;1920.19221878052;2097.90014266968;2283.22555160522;2400.01635360718;2400.19691085815;2547.45018386841;2400.24026489258;704.500057220459;717.345882415772;727.985908508301;732.600048065186;733.98592376709;741.985946655273;832.500057220459;736.865013122559;788.002067565918;789.986072540283;796.002086639404;799.200054168701;805.986114501953;810.551509857178;812.002128601074;813.98613357544;816.002140045166;;818.002143859863;;832.006542205811;856.002243041992;865.80005645752;899.100059509277;960.006542205811;1065.60007095337;1098.90007400513;1198.8000793457;1320.10829925537;1062.002784729;;1466.68230819702;1250.01530838013;1866.68657302856
8;blcxx_1421-490_S_2019-04-29T15:15:10.000.fil;;933.343235015869;1200.01272964478;1312.58615875244;1333.34748077393;1350.00926589966;;;;1485.01019287109;;;;;1755.01204299927;;;1920.15760421753;1366.12600326538;;1749.96441268921;;2097.9002571106;2283.22557449341;2400.0164642334;2400.19700622559;;2400.24039077759;704.500102996826;;727.985950469971;732.600090026856;;;832.500102996826;;;;;799.200096130371;805.98616027832;;812.002174377441;813.986179351807;816.002185821533;817.986194610596;818.002193450928;818.01819229126;832.006587982178;856.002296447754;865.800106048584;899.100109100342;960.006587982178;1065.60012817383;;;1320.10835266113;;;1466.68222808838;;1866.68647003174
9;blcxx_ProxCen_S_2019-04-29T15:21:41.000.fil;982.002643585205;933.343223571777;1200.01271820068;1312.58614730835;1333.34746170044;1350.00927734375;1365.30018234253;;1431.90019226074;1485.01020431519;1498.50019836426;;;;1755.01205825806;1798.20023727417;1890.01298522949;1920.15762329102;1366.12602233887;;1749.96445083618;1920.19233322144;2097.90027999878;2283.2255821228;2400.01649093628;2400.19702529907;2547.45035934448;2400.24042129517;704.500110626221;;727.985961914063;732.60009765625;733.985977172852;741.986000061035;832.500110626221;736.86506652832;788.00212097168;789.986125946045;796.002143859863;799.200107574463;805.986171722412;810.551570892334;812.002185821533;813.986190795898;816.002197265625;817.986206054688;818.002201080322;818.018203735352;832.006595611572;856.002304077148;865.800117492676;899.100120544434;960.006595611572;1065.60014343262;1098.90014648438;;;1062.00285720825;1298.70017242432;1466.68220901489;1250.01542663574;1866.68644714355
